city,population
כפר שמריהו," 1,948 "
כפר תבור," 4,425 "
להבים," 6,977 "
לקיה," 15,295 "
מבשרת ציון," 24,943 "
מג'ד אל-כרום," 15,630 "
מגדל," 1,988 "
מג'דל שמס," 11,405 "
מזכרת בתיה," 15,424 "
מזרעה," 4,078 "
מטולה," 1,693 "
מיתר," 10,565 "
מסעדה," 3,812 "
מעיליא," 3,267 "
מעלה אפרים," 1,318 "
מעלה עירון," 15,642 "
מצפה רמון," 5,178 "
משהד," 8,655 "
נחף," 13,558 "
סאג'ור," 4,425 "
סביון," 4,051 "
ע'ג'ר," 2,745 "
עומר," 7,656 "
עיילבון," 5,812 "
עילוט," 8,654 "
עין מאהל," 13,748 "
עין קנייא," 2,172 "
עמנואל," 4,372 "
עספיא," 12,746 "
ערערה," 25,823 "
ערערה-בנגב," 19,682 "
פוריידיס," 13,570 "
פסוטה," 3,236 "
פקיעין (בוקייעה)," 6,026 "
פרדס חנה-כרכור," 44,210 "
פרדסייה," 7,251 "
קדומים," 4,590 "
קדימה-צורן," 22,920 "
קצרין," 7,606 "
קריית ארבע," 7,499 "
קריית טבעון," 18,519 "
קריית יערים," 6,471 "
קריית עקרון," 11,051 "
קרני שומרון," 9,663 "
ראמה," 7,789 "
ראש פינה," 3,237 "
ריינה," 19,265 "
רכסים," 13,736 "
רמת ישי," 8,071 "
שבלי - אום אל-גנם," 6,279 "
שגב-שלום," 11,865 "
שוהם," 21,441 "
שלומי," 7,055 "
שעב," 7,381 "
תל מונד," 14,179 "
תל שבע," 22,187 "
אל קסום," 17,270 "
אל-בטוף," 8,408 "
אלונה," 2,275 "
אשכול," 15,205 "
באר טוביה," 23,841 "
בוסתן אל-מרג'," 8,137 "
בני שמעון," 11,419 "
ברנר," 8,046 "
גדרות," 5,192 "
גולן," 19,214 "
גוש עציון," 25,691 "
גזר," 27,622 "
גן רווה," 6,585 "
דרום השרון," 34,327 "
הגלבוע," 32,165 "
הגליל העליון," 19,440 "
הגליל התחתון," 12,795 "
הערבה התיכונה," 3,772 "
הר חברון," 10,079 "
זבולון," 13,755 "
חבל אילות," 4,745 "
חבל יבנה," 6,920 "
חבל מודיעין," 24,107 "
חוף אשקלון," 19,295 "
חוף הכרמל," 35,553 "
חוף השרון," 14,872 "
יואב," 9,197 "
לב השרון," 23,672 "
לכיש," 13,778 "
מבואות החרמון," 7,564 "
מגידו," 12,200 "
מגילות ים המלח," 2,057 "
מטה אשר," 30,846 "
מטה בנימין," 73,497 "
מטה יהודה," 62,442 "
מנשה," 21,820 "
מעלה יוסף," 11,605 "
מרום הגליל," 15,892 "
מרחבים," 14,605 "
משגב," 30,192 "
נווה מדבר," 13,309 "
נחל שורק," 10,189 "
עמק הירדן," 14,390 "
עמק המעיינות," 14,377 "
עמק חפר," 42,880 "
עמק יזרעאל," 40,146 "
ערבות הירדן," 6,133 "
רמת נגב," 8,558 "
שדות דן," 15,987 "
שדות נגב," 11,062 "
שומרון," 49,957 "
שער הנגב," 9,071 "
שפיר," 12,853 "
תמר," 1,572 "
